GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "47000","Tennessee",5,SAPCE3,1,"...","Personal consumption expenditures ","Millions of current dollars",105743.6,110964.3,118263.8,126206.0,129992.3,134628.3,140625.2,149220.1,158956.4,168266.9,177608.3,181695.8,179109.0,186742.5,195285.2,201025.4,204581.1,213215.6,219893.4,228519.0,238681.9,250515.5,260150.9,259372.2,296228.3
 "47000","Tennessee",5,SAPCE3,2,"..."," Goods ","Millions of current dollars",41967.5,44009.4,47651.7,50297.4,50532.7,51638.1,53475.4,56779.1,60396.0,63275.5,66493.2,66744.6,63043.4,66621.1,70929.5,72851.6,73125.2,75642.4,75562.6,77049.2,79871.4,83722.4,86220.6,90729.4,108953.0
 "47000","Tennessee",5,SAPCE3,3,"...","  Durable goods ","Millions of current dollars",15200.2,16400.3,17812.9,18385.3,18352.2,18977.6,19346.2,20331.8,21078.6,21462.9,22222.7,20096.5,18118.9,19338.2,20124.0,21014.2,21702.6,22729.1,23998.5,25024.2,25946.4,27118.9,28046.4,30530.1,39357.0
 "47000","Tennessee",5,SAPCE3,4,"...","   Motor vehicles and parts ","Millions of current dollars",7322.5,7877.1,8566.3,8569.1,8681.9,8978.5,8823.9,8840.9,8875.7,8554.2,8807.9,7230.1,6482.6,7395.3,7888.9,8529.6,8801.3,9381.0,10146.3,10503.3,10779.4,11057.1,10902.7,11586.1,15613.9
 "47000","Tennessee",5,SAPCE3,5,"...","    New motor vehicles ","Millions of current dollars",3707.0,4054.0,4495.0,4579.5,4789.5,4998.1,5098.3,5007.8,4923.1,4606.0,4649.9,3486.0,3022.0,3498.8,4071.4,4590.9,4743.5,5073.0,5327.4,5352.6,5425.7,5431.9,5411.9,5728.0,7088.2
 "47000","Tennessee",5,SAPCE3,6,"...","    Net purchases of used motor vehicles ","Millions of current dollars",2543.8,2784.8,2996.1,2935.9,2855.1,2929.8,2644.4,2688.0,2697.6,2642.4,2725.1,2363.9,2231.4,2481.1,2317.1,2282.6,2379.5,2605.6,3039.7,3345.4,3526.3,3720.5,3589.5,3908.9,6067.5
 "47000","Tennessee",5,SAPCE3,7,"...","    Motor vehicle parts and accessories ","Millions of current dollars",1071.7,1038.2,1075.3,1053.7,1037.3,1050.6,1081.2,1145.1,1255.0,1305.8,1432.9,1380.2,1229.2,1415.4,1500.4,1656.1,1678.2,1702.4,1779.2,1805.3,1827.4,1904.8,1901.3,1949.2,2458.2
 "47000","Tennessee",5,SAPCE3,8,"...","   Furnishings and durable household equipment ","Millions of current dollars",3381.5,3645.3,3936.4,4126.8,4095.4,4248.3,4429.2,4758.0,5078.1,5290.0,5360.2,4935.6,4465.0,4627.2,4721.0,4835.9,5036.9,5242.9,5552.7,5921.5,6260.1,6722.8,7122.7,8216.9,9811.8
 "47000","Tennessee",5,SAPCE3,9,"...","    Furniture and furnishings ","Millions of current dollars",2085.3,2219.7,2367.9,2516.8,2466.4,2539.9,2654.8,2868.4,3110.0,3287.0,3381.2,3038.4,2717.0,2804.4,2842.4,2948.7,3028.8,3197.4,3461.8,3724.2,3979.2,4347.6,4661.9,5477.5,6529.8
 "47000","Tennessee",5,SAPCE3,10,"...","    Household appliances ","Millions of current dollars",452.7,493.2,546.5,572.9,582.0,635.6,661.3,736.1,776.3,796.9,809.8,799.5,736.0,796.0,839.8,831.6,893.6,889.6,898.0,944.9,966.0,1003.3,1036.6,1148.9,1383.1
 "47000","Tennessee",5,SAPCE3,11,"...","    Glassware, tableware, and household utensils ","Millions of current dollars",545.1,613.0,671.1,686.2,698.0,711.3,737.4,747.5,757.5,757.5,739.8,683.2,618.4,601.5,567.6,540.5,569.7,586.1,603.7,626.3,654.4,687.1,718.5,758.3,922.7
 "47000","Tennessee",5,SAPCE3,12,"...","    Tools and equipment for house and garden ","Millions of current dollars",298.4,319.5,350.9,350.9,349.0,361.5,375.7,406.1,434.2,448.6,429.5,414.6,393.6,425.2,471.3,515.1,544.8,569.7,589.2,626.0,660.5,684.9,705.8,832.1,976.2
 "47000","Tennessee",5,SAPCE3,13,"...","   Recreational goods and vehicles ","Millions of current dollars",3045.7,3284.6,3580.7,3801.2,3743.7,3861.1,4089.9,4542.5,4799.4,5078.8,5292.0,5213.4,4553.7,4540.5,4576.7,4610.1,4794.7,4904.3,4981.3,5211.1,5426.3,5723.5,6312.2,7260.7,9222.3
 "47000","Tennessee",5,SAPCE3,14,"...","    Video, audio, photographic, and information processing equipment and media ","Millions of current dollars",1407.4,1558.6,1703.3,1786.0,1733.8,1863.1,1985.8,2367.3,2528.2,2693.4,2877.1,2854.6,2464.3,2486.3,2481.1,2452.9,2434.8,2395.2,2328.1,2344.7,2405.2,2564.0,2930.8,3265.0,4076.6
 "47000","Tennessee",5,SAPCE3,15,"...","    Sporting equipment, supplies, guns, and ammunition ","Millions of current dollars",581.8,614.2,660.9,727.8,725.3,706.5,749.9,751.0,753.1,801.8,777.4,791.4,751.9,752.9,794.2,855.3,990.2,1068.7,1147.8,1275.8,1318.2,1427.6,1505.4,1904.1,2365.5
 "47000","Tennessee",5,SAPCE3,16,"...","    Sports and recreational vehicles ","Millions of current dollars",692.9,727.5,769.8,798.7,762.1,744.9,796.5,847.3,952.5,1023.9,1089.8,1025.6,861.1,825.9,870.8,895.5,974.2,1030.7,1096.2,1163.6,1267.5,1290.7,1352.5,1562.8,2139.8
 "47000","Tennessee",5,SAPCE3,17,"...","    Recreational books ","Millions of current dollars",317.4,333.0,388.1,419.6,454.0,471.3,482.7,489.3,482.4,475.2,460.9,455.3,403.7,397.1,351.4,329.2,313.3,328.5,326.9,341.5,349.2,349.7,428.5,432.4,510.5
 "47000","Tennessee",5,SAPCE3,18,"...","    Musical instruments ","Millions of current dollars",46.2,51.4,58.6,69.1,68.5,75.3,75.0,87.6,83.1,84.5,86.8,86.5,72.7,78.4,79.2,77.2,82.2,81.1,82.4,85.6,86.3,91.5,94.9,96.3,129.9
 "47000","Tennessee",5,SAPCE3,19,"...","   Other durable goods ","Millions of current dollars",1450.5,1593.2,1729.6,1888.2,1831.1,1889.8,2003.1,2190.4,2325.4,2539.9,2762.7,2717.5,2617.6,2775.2,2937.4,3038.6,3069.6,3200.9,3318.2,3388.3,3480.6,3615.4,3708.7,3466.5,4709.0
 "47000","Tennessee",5,SAPCE3,20,"...","    Jewelry and watches ","Millions of current dollars",702.1,760.4,805.6,872.6,817.3,821.1,831.7,904.1,952.0,1022.8,1077.7,1011.1,906.7,934.2,1009.6,1047.8,962.0,1016.2,1082.0,1096.6,1127.4,1168.0,1170.0,1136.2,1789.7
 "47000","Tennessee",5,SAPCE3,21,"...","    Therapeutic appliances and equipment ","Millions of current dollars",456.5,520.7,575.2,634.1,643.8,695.2,747.5,814.0,883.2,954.5,1054.2,1047.0,1054.1,1096.7,1131.7,1153.8,1194.3,1224.2,1254.0,1295.7,1320.9,1385.8,1443.2,1419.1,1726.8
